DeskName,JoanDeskId,Active,ApprovedForExternals
4-1A,d58199f6-d8a3-4da5-bdfc-060d3f27685b,True,
4-1B,99579d1e-ba4a-474a-ac35-317e18e75355,True,
4-1C,390e38de-be38c-71-a4a9-9c9eb9ae2303,True,
4-1D,e155f495-5d3c-4d7f-864e-9053dd939036,True,
4-2A,cfe4e32d-0593-4df7-889c-60524c50e891,True,
4-2B,8559d887-6655-4ad2-8330-80367387c4d5,True,
4-2C,5e760c9e-ebb2-4a8b-9614-d8dffb0c334a,True,
4-2D,c458b413-8143-4b72-b673-9ece495a975c,True,
6-10A,fc56c779-09a2-4c42-a259-ce63fb961f38,True,
6-10B,4daaa4e0-67ef-49cb-a96b-88c5298d1da9,True,
6-11A,128a5cb9-b68b-4258-8a6e-b18cd1e8b02d,True,
6-11B,6e7f7263-d0f1-4011-9f9e-df2aadec0352,True,
6-12A,0af59a0f-69d8-420c-93e4-477ea6feae56,True,
6-12B,adf3da9b-c143-41f1-9c49-49c9ba0b4f2b,True,
6-13A,0415fe4a-e865-41fb-ab1c-666ee7417c15,True,
6-13B,a1f91a96-dc3c-4a44-8ce8-8f5fdec03bbb,True,
6-14A,23907dc9-b51e-47e4-b489-f2b01542ee85,True,
6-14B,55d7cb12-084b-4c79-a234-60de9de25af0,True,
6-15A,01269af7-a9a0-4dbb-8401-473707e895c5,True,
6-15B,9f0c2ed7-12d9-4b5d-87a4-af5010be430f,True,
6-16A,91ec5345-59ab-43b3-8aca-0c7ba3110aa2,True,
6-16B,f8ed1ca7-1a3a-47ee-be76-49f0431a4b15,True,
6-17A,7406e78f-2016-4035-bf93-f26583c85153,True,
6-17B,9c5b50a2-025f-8a8a-e2e492ecc731,True,
6-17C,8767e635-1c41-4c82-909f-cfd1fbe93854,True,
6-18A,df86df9f-1810-4459-b493-4f6aeaf1c749,True,
6-18B,1c5a625d-2abc-4189-80d4-0625e5026c68,True,
6-18C,05b28460-1deb-4f5f-8047-aa381903decc,True,
6-1A,b2dfefe8-5d56-498f-b097-eef3b691a339,True,
6-1B,c8d0ca51-5ab7-4d71-bad6-944c4f76fd4c,True,
6-2A,0708d9c1-d47d-4b8f-8416-02aa38bbba29,True,
6-2B,09fbb2e8-22da-4846-a01f-8ee916cd38eb,True,
6-3A,145f8a26-ea51-405a-b076-f7e0156a9b1c,True,
6-3B,8205c58a-afa6-48e6-a59b-8991dccf2cfd,True,
6-4A,d6b8272f-1f75-4f17-ad82-7d23946f42f3,True,
6-4B,5a744969-bac0-4310-a650-33f6d76eabec,True,
6-5A,221be244-8e64-4119-bfe3-f722993178ff,True,
6-5B,a1ce5c9c-f2cf-48cc-83fb-13360761df89,True,
6-6A,8e9ac577-f87e-4205-8796-8bb99b351cd6,True,
6-6B,0919c4bf-a152-4dda-84c2-244319b25d82,True,
6-7A,b2b1090a-0298-49eb-b0b0-87fd15071db5,True,
6-7B,95c0737d-ef4d-4328-8a1f-56c82c607bc0,True,
6-8A,e9e82dbe-1976-4a1c-bfc9-1ff1168c73c9,True,
6-8b,fb4b4d87-3049-417f-8a8a-7fc6c62fcd0f,True,
6-9A,2c469dbd-41b9-44d9-941c-a2c13ea097a0,True,
6-9B,ee947e2a-be65-4b9f-8be9-c047496ba8b6,True,
